MolID	1	2	3	4	5	6	7	8	9	10	11	12	13	14
422	nan	0.773000	0.437960	0.384140	0.583500	0.153980	0.430450	0.351280	0.477260	0.147230	0.316080	0.588710	0.359650	0.477680	0.240040
679	nan	0.773000	0.437960	0.384140	0.583500	0.153980	0.430450	0.351280	0.477260	0.147230	0.316080	0.588710	0.359650	0.477680	0.240040
358	nan	0.773000	0.437960	0.384140	0.583500	0.153980	0.430450	0.351280	0.477260	0.147230	0.316080	0.588710	0.359650	0.477680	0.240040
745	nan	0.900710	0.437960	0.384140	0.583500	0.153980	0.430450	0.351280	0.477260	0.147230	0.316080	0.588710	0.359650	0.477680	0.240040
749	nan	0.773000	0.437960	0.384140	0.583500	0.153980	0.430450	0.351280	0.477260	0.147230	0.316080	0.588710	0.359650	0.477680	0.240040
752	nan	0.900710	0.437960	0.384140	0.583500	0.153980	0.430450	0.351280	0.477260	0.147230	0.316080	0.588710	0.359650	0.477680	0.240040
563	nan	0.900710	0.437960	0.384140	0.583500	0.153980	0.430450	0.351280	0.477260	0.147230	0.316080	0.588710	0.359650	0.477680	0.240040
628	nan	0.773000	0.437960	0.384140	0.583500	0.153980	0.430450	0.351280	0.477260	0.147230	0.316080	0.588710	0.359650	0.477680	0.240040
374	nan	0.773000	0.437960	0.384140	0.583500	0.153980	0.430450	0.351280	0.477260	0.147230	0.316080	0.588710	0.359650	0.477680	0.240040
124	nan	0.773000	0.437960	0.384140	0.583500	0.153980	0.430450	0.351280	0.477260	0.147230	0.316080	0.588710	0.359650	0.477680	0.240040
384	nan	0.402570	0.532770	0.507570	0.492320	0.595010	nan	0.478690	0.530980	0.438840	0.487200	0.535360	0.504820	0.528910	0.379080
192	nan	0.402570	0.532770	0.507570	0.492320	0.595010	nan	0.478690	0.530980	0.438840	0.487200	0.535360	0.504820	0.528910	0.379080
777	nan	nan	nan	0.804390	0.729680	0.883510	nan	0.478690	0.530980	0.438840	0.487200	0.535360	0.504820	0.528910	0.379080
397	nan	0.402570	0.532770	0.507570	0.492320	0.595010	nan	0.478690	0.530980	0.438840	0.487200	0.535360	0.504820	0.528910	0.379080
654	nan	0.402570	0.532770	0.507570	0.492320	0.595010	nan	0.478690	0.530980	0.438840	0.487200	0.535360	0.504820	0.528910	0.379080
15	nan	nan	nan	0.804390	0.729680	0.883510	nan	0.478690	0.530980	0.438840	0.487200	0.535360	0.504820	0.528910	0.379080
529	nan	nan	nan	0.507570	0.492320	0.595010	nan	0.478690	0.530980	0.438840	0.487200	0.535360	0.504820	0.528910	0.379080
274	nan	0.402570	0.532770	0.507570	0.492320	0.595010	nan	0.478690	0.530980	0.438840	0.487200	0.535360	0.504820	0.528910	0.379080
152	nan	nan	nan	0.804390	0.729680	0.883510	nan	0.478690	0.530980	0.438840	0.487200	0.535360	0.504820	0.528910	0.379080
285	nan	0.402570	0.532770	0.507570	0.492320	0.595010	nan	0.478690	0.530980	0.438840	0.487200	0.535360	0.504820	0.528910	0.379080
675	nan	nan	nan	0.804390	0.729680	0.883510	nan	0.478690	0.530980	0.438840	0.487200	0.535360	0.504820	0.528910	0.379080
227	nan	0.402570	0.532770	0.507570	0.492320	0.595010	nan	0.478690	0.530980	0.438840	0.487200	0.535360	0.504820	0.528910	0.379080
421	nan	0.402570	0.532770	0.507570	0.492320	0.595010	nan	0.478690	0.530980	0.438840	0.487200	0.535360	0.504820	0.528910	0.379080
486	nan	nan	nan	0.804390	0.729680	0.883510	nan	0.478690	0.530980	0.438840	0.487200	0.535360	0.504820	0.528910	0.379080
39	nan	0.402570	0.532770	0.507570	0.492320	0.595010	nan	0.478690	0.530980	0.438840	0.487200	0.535360	0.504820	0.528910	0.379080
618	nan	nan	nan	0.804390	0.729680	0.883510	nan	0.478690	0.530980	0.438840	0.487200	0.535360	0.504820	0.528910	0.379080
171	nan	0.402570	0.532770	0.507570	0.492320	0.595010	nan	0.478690	0.530980	0.438840	0.487200	0.535360	0.504820	0.528910	0.379080
362	nan	0.402570	0.532770	0.507570	0.492320	0.595010	nan	0.478690	0.530980	0.438840	0.487200	0.535360	0.504820	0.528910	0.379080
432	nan	0.402570	0.532770	0.507570	0.492320	0.595010	nan	0.478690	0.530980	0.438840	0.487200	0.535360	0.504820	0.528910	0.379080
566	nan	0.402570	0.532770	0.507570	0.492320	0.595010	nan	0.478690	0.530980	0.438840	0.487200	0.535360	0.504820	0.528910	0.379080
631	nan	0.402570	0.532770	0.507570	0.492320	0.595010	nan	0.478690	0.530980	0.438840	0.487200	0.535360	0.504820	0.528910	0.379080
121	nan	nan	nan	0.804390	0.729680	0.883510	nan	0.478690	0.530980	0.438840	0.487200	0.535360	0.504820	0.528910	0.379080
570	nan	0.402570	0.532770	0.507570	0.492320	0.595010	nan	0.478690	0.530980	0.438840	0.487200	0.535360	0.504820	0.528910	0.379080
701	nan	0.402570	0.532770	0.507570	0.492320	0.595010	nan	0.478690	0.530980	0.438840	0.487200	0.535360	0.504820	0.528910	0.379080
651	nan	0.520610	0.463510	0.539340	0.383640	0.440090	0.374930	0.494360	0.600120	0.510500	0.400090	0.377170	0.581800	0.455170	0.416610
76	nan	0.520610	0.463510	0.539340	0.383640	0.440090	0.374930	0.494360	0.600120	0.510500	0.400090	0.377170	0.581800	0.455170	0.416610
80	nan	0.647360	0.463510	0.539340	0.383640	0.440090	0.374930	0.494360	0.600120	0.510500	0.400090	0.377170	0.581800	0.455170	0.416610
17	nan	0.520610	0.463510	0.539340	0.383640	0.440090	0.374930	0.494360	0.600120	0.510500	0.400090	0.377170	0.581800	0.455170	0.416610
594	nan	0.647360	0.463510	0.539340	0.383640	0.440090	0.374930	0.494360	0.600120	0.510500	0.400090	0.377170	0.581800	0.455170	0.416610
724	nan	0.520610	0.463510	0.539340	0.383640	0.440090	0.374930	0.494360	0.600120	0.510500	0.400090	0.377170	0.581800	0.455170	0.416610
289	nan	0.520610	0.463510	0.539340	0.383640	0.440090	0.374930	0.494360	0.600120	0.510500	0.400090	0.377170	0.581800	0.455170	0.416610
738	nan	0.647360	0.463510	0.539340	0.383640	0.440090	0.374930	0.494360	0.600120	0.510500	0.400090	0.377170	0.581800	0.455170	0.416610
299	nan	0.647360	0.463510	0.539340	0.383640	0.440090	0.374930	0.494360	0.600120	0.510500	0.400090	0.377170	0.581800	0.455170	0.416610
107	nan	0.647360	0.463510	0.539340	0.383640	0.440090	0.374930	0.494360	0.600120	0.510500	0.400090	0.377170	0.581800	0.455170	0.416610
