# MolID	Frame0	Frame1	Frame2	Frame3	Frame4	Frame5	Frame6	Frame7	Frame8	Frame9	Frame10	Frame11	Frame12	Frame13	Frame14
341	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
342	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
343	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
344	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
345	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
346	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
347	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
348	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
349	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
350	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
351	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
352	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
353	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
354	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
355	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
356	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
357	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
358	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
359	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
360	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
361	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
362	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
363	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
364	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
365	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
366	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
367	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
368	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
369	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
370	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
371	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
372	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
373	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
374	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
375	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
376	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
377	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
378	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
379	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
380	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
381	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
382	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
383	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
384	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
385	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
386	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
387	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
388	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
389	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
390	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
391	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
392	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
393	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
394	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
395	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
396	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
397	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
398	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
399	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
400	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
401	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
402	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
403	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
404	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
405	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
406	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
407	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
408	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
409	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
410	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
411	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
412	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
413	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
414	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
415	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
416	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
417	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
418	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
419	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
420	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
421	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
422	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
423	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
424	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
